"conversation_id_str","created_at","favorite_count","full_text","id_str","image_url","in_reply_to_screen_name","lang","location","quote_count","reply_count","retweet_count","tweet_url","user_id_str","username"
"1938673619640688997","Fri Jun 27 18:59:44 +0000 2025","0","Kenapa Amerika gak ngebom IKN proyek tolol itu? Karena tanpa dibom pun sudah mangkrak sendiri 19/01/2025: NASA Bocorkan Penampakan IKN dari Langit Sudah Berubah Drastis https://t.co/JfZ7OR6RVv #KembalikanIbuKotaKeJakarta #KembalikanIbuKotaKeJakarta https://t.co/eGyoNKgsNl","1938673619640688997","https://pbs.twimg.com/media/GueNYSnbYAA2yZI.jpg","","in","","0","0","0","https://x.com/undefined/status/1938673619640688997","1604064608913723394",
"1938673290928857309","Fri Jun 27 18:58:26 +0000 2025","1"," Jokowi takut IKN di-Hambalang-kan karena dulu setiap kali Pak SBY mengkritik dia selalu angkat isu Hambalang yg sengaja dia mangkrakkan. (Wartawan senior Tempo) Karma pasti berjalan. Yang menghina akan dihina. Yang mengkhianati akan dikhianati #KembalikanIbuKotaKeJakarta https://t.co/TR0MhWsr1g","1938673290928857309","https://pbs.twimg.com/amplify_video_thumb/1938673217163669504/img/Vnzau-DuLUg4v5C7.jpg","","in","","0","0","0","https://x.com/undefined/status/1938673290928857309","1604064608913723394",
"1938672957028737172","Fri Jun 27 18:57:06 +0000 2025","0","Ibu kota harus pindah ke IKN dengan alasan Jakarta akan tenggelam . Sementara pengembang berlomba-lomba membangun di area laut. Rakyat ditipu #KembalikanIbuKotaKeJakarta #KembalikanIbuKotaKeJakarta https://t.co/arWR7NxK1y","1938672957028737172","https://pbs.twimg.com/amplify_video_thumb/1938672943057494016/img/1pnP_m-FI6062-Mc.jpg","","in","","0","0","0","https://x.com/undefined/status/1938672957028737172","1604064608913723394",
"1938672580648673730","Fri Jun 27 18:55:36 +0000 2025","1","Ibu kota dipindah ke IKN karena oligarki penjajah ingin kuasai Jakarta dan pantainya dan lautnya. Thus proyek IKN adalah korupsi kebijakan Jokowi #KembalikanIbuKotaKeJakarta #KembalikanIbuKotaKeJakarta https://t.co/52hXVe71hg","1938672580648673730","https://pbs.twimg.com/media/GueMb04boAAySuS.jpg","","in","","0","1","1","https://x.com/undefined/status/1938672580648673730","1604064608913723394",
"1938670830227198292","Fri Jun 27 18:48:39 +0000 2025","0","Gedung terminal digenangi air setinggi 5 sampai 10 cm. Memang surut pada hari yang sama. Tapi menyisakan lumpur dan genangan air di sekitar area gedung terminal. 29/1/2025: https://t.co/V6urqk8hxO #KembalikanIbuKotaKeJakarta #KembalikanIbuKotaKeJakarta https://t.co/ylc2jMaS93","1938670830227198292","https://pbs.twimg.com/media/GueK161acAAdZ3s.jpg","","in","","0","0","0","https://x.com/undefined/status/1938670830227198292","1604064608913723394",
"1938670575721030035","Fri Jun 27 18:47:38 +0000 2025","1","Apakah Indonesia sudah jatuh ke tangan Cina sehingga Ibu Kota harus dilaporkan dan menjadi urusan Cina? Jokowi menyerahkan rancangan IKN ke Cina dalam lawatannya tanggal 29 Juli 2023 #KembalikanIbuKotaKeJakarta #KembalikanIbuKotaKeJakarta https://t.co/v6OblJ9SwT","1938670575721030035","https://pbs.twimg.com/amplify_video_thumb/1938670503608377344/img/WFhEmFXF4PHPYBmu.jpg","","in","","0","0","0","https://x.com/undefined/status/1938670575721030035","1604064608913723394",
"1938670169771122785","Fri Jun 27 18:46:01 +0000 2025","0"," IKN itu program konyol krn mengandung pemborosan APBN perusakan lingkungan dan ambisi pribadi Jokowi. Pemilik kekonyolan itu adalah dinasti yang ingin disebut memiliki IKN yaitu Mulyono (RG) https://t.co/3oQbc00bd6 #KembalikanIbuKotaKeJakarta #KembalikanIbuKotaKeJakarta","1938670169771122785","","","in","","0","0","0","https://x.com/undefined/status/1938670169771122785","1604064608913723394",
"1938669295653003496","Fri Jun 27 18:42:33 +0000 2025","0"," IKN awalnya dapet investor Soft Bank Jepang. Tapi mundur. Jokowi pasarkan ke berbagai negara gak laku. Supaya gak malu diundanglah Aguan. Aguan bangun hotel Nusantara 200 M untuk menyelamatkan wajah presiden dengan kompensasi PSN #KembalikanIbuKotaKeJakarta https://t.co/vo4fXDSnPz","1938669295653003496","https://pbs.twimg.com/amplify_video_thumb/1938669225129975810/img/GTtwi4yVQgJ2bG5E.jpg","","in","","0","0","0","https://x.com/undefined/status/1938669295653003496","1604064608913723394",
"1938668570432651270","Fri Jun 27 18:40:41 +0000 2025","1","IKN itu ambisi pribadi Jokowi. Saya minta Pak Presiden Prabowo bikin keppres supaya dibuat ruangan khusus di IKN untuk pangkalan LPG biar dijagain Gibran. Kan Gibran bilang Kalau ada masalah gas lapor saya (RG) #KembalikanIbuKotaKeJakarta #KembalikanIbuKotaKeJakarta https://t.co/TrutmMxfd8","1938668825085718575","https://pbs.twimg.com/amplify_video_thumb/1938668744324395008/img/cvpagX5EA3imH1_h.jpg","ArtaN7707","in","","0","0","0","https://x.com/undefined/status/1938668825085718575","1604064608913723394",
"1938668570432651270","Fri Jun 27 18:40:20 +0000 2025","0"," Setelah Esemka cerita pemuda Solo aaya gak percaya IKN. Kalian disirep sedemikian rupa. Selama 10 tahun orang tahu bahwa Jokowi tidak tahu. Karena tidak ada yang memberitahu dia menunggangi kedunguan kalian (RG) #KembalikanIbuKotaKeJakarta #KembalikanIbuKotaKeJakarta https://t.co/4jTJmt5OFe","1938668739106611541","https://pbs.twimg.com/amplify_video_thumb/1938668669212696576/img/g9n01-eKELAk1dsS.jpg","ArtaN7707","in","","0","1","0","https://x.com/undefined/status/1938668739106611541","1604064608913723394",
